1;1;251-00268;"PERNO FO HEX 5/8""X3"" HC C/T";C/U;;;Alm Reparac. Ext;B11A4;100;N;1;1
2;2;251-00449;"STOVE BOLT FO 1/4""X1/2""";C/U;;;Alm Reparac. Ext;B09C4;1010;N;1;1
3;3;764-00210;FAJA EN V TIPO 5V-1250 16X3172MM;PZA;;;Alm Reparac. Ext;B87C3;12;N;1;1
4;4;675-00301;PISTON JEBE P/VALV.PURGA RAPI.P/CANE;PZA;;;Alm Reparac. Ext;B05C1;13;N;1;1
5;5;675-01903;LAMINA CIERRE AC INOX 250X525X1.5MM;PZA;;;Alm Reparac. Ext;B78A5;8;N;1;1
6;7;671-00407;DIAFRAGMA JEBE 65X1MM E.COMPL S/M;PZA;;;Alm Reparac. Ext;B05C1;10;N;1;1
7;8;671-00406;DIAFRAGMA CAUCHO 110X1MM E.COMP.S/M;PZA;;;Alm Reparac. Ext;B05C1;7;N;1;1
8;10;209-00757;"CONECTOR RECTO MACHO BRONCE 3/8""X1/4""";PZA;;;Alm Reparac. Ext;B01C2;23;N;1;1
9;12;752-00527;"EMPAQUETADURA TORCIDA ESSAT 1/4""X100m";ROL;;;Alm Reparac. Ext;B02F5;5;N;1;1
10;13;739-00826;SENSOR PROXIMIDAD INDUCTIVO XSAV11801;PZA;;;Alm Reparac. Ext;B05B5;8;N;1;1
11;14;209-00922;CONECTOR RECTO CONDUIT FO GALV SIM 1.1/2;PZA;;;Alm Reparac. Ext;B01A3;14;N;1;1
12;17;260-00071;"ELECTRODO SUPERCITO 5/32"" E7018";KG;;;Alm Reparac. Ext;B107B2;256,89;N;1;1
13;18;675-01947;5741360 PIN 31DIENTES Dp= 930m;PZA;;;Alm Reparac. Ext;ALM. DINO;1;N;1;1
14;19;908-00091;BOLSA PAPEL 2PL 42.5KG P/CEM EXTRADURABL;MLR;;;Alm Reparac. Ext;ALM.DINO;71,86;N;1;1
15;20;908-00201;BOLSA PAPEL 2PL 39.5KG CAFE P/CEM ALBA;MLR;;;Alm Reparac. Ext;ALM.DINO;105,38;N;1;1
16;21;682-00096;"MANGA FILTRO 501-2 D.11.1/2X30'5""";PZA;;;Alm Reparac. Ext;ALM/DINO;695;N;1;1
